name,season,hex
Light Aqua,spring,#9CD7E9
Aqua,spring,#61CAE2
Aqua Green,spring,#6FCDD7
Bright Aqua,spring,#51C4BC
Light Peach,spring,#FCE8CE
Peach Pink,spring,#FBDDBE
Sweet corn,spring,#FCEE97
Banana Yellow,spring,#FBEB08
Chrome Yellow,spring,#F8B016
Cream,spring,#FDF2B8
Parmesan Yellow,spring,#FBE175
Persian Orange,spring,#D99A57
Light Brown,spring,#A86328
Mid Blue,spring,#2C71C0
Dusk Blue,spring,#21579E
Coral pink,spring,#F3929B
Dark chocolate,spring,#502E13
Gray beige,spring,#D0B580
Medium Green,spring,#31B050
Ivory,spring,#FEFAEC
Apricot,spring,#EFBE78
Bee Yellow,spring,#F7AD1A
Portland Orange,spring,#F66E37
Persimmon orange,spring,#F05735
Carrot orange,spring,#F59832
Lava red,spring,#E61D26
Dark Lavender,spring,#7D3E99
Pale green,spring,#DAE372
Lime green,spring,#BEDB54
Parrot green,spring,#91C743
Pastel Pink,summer,#FBD3DE
Carnation Pink,summer,#F7A2C6
Bubblegum pink,summer,#F067A2
Pink Rose,summer,#EB9CAA
Natural Grey,summer,#8E877D
Cocoa brown,summer,#9F7467
Pastel Violet,summer,#D794C0
Viola Purple,summer,#7A5279
Wisteria purple ,summer,#D9B0D4
Metallic Silver,summer,#BAC3C9
Grey Cloud,summer,#ADB6BC
Metallic Blue,summer,#5A728A
Light Navy Blue,summer,#365688
Pastel Purple,summer,#AC9BCB
Lavender Grey,summer,#C6BBDB
Lemon yellow,summer,#FDF6A9
Milk white,summer,#E8E9E5
Mint green,summer,#B8E0C1
Eucalyptus,summer,#258859
Dark Spring Green,summer,#21655C
Greenish Blue,summer,#2C7D73
Light Grey Blue,summer,#9EBAD8
Dark Pastel Blue,summer,#6EA4CF
Flat Blue,summer,#486BAD
Cloudy Blue,summer,#AEC9E3
Valentine Red,summer,#EF3E5E
Rose Gold,summer,#E8C4BC
Daisy Pink,summer,#DAA196
Copper Rose,summer,#A85769
Copper Rust,summer,#913F55
Dark Beige,autumn,#B88D5C
Bear Brown ,autumn,#7B573B
Cloudy Blue,autumn,#A0C1CC
Cool Blue,autumn,#4887A2
Cream,autumn,#FCF9DF
Espresso,autumn,#523512
Light Gold,autumn,#FAD653
Sunshade,autumn,#F1A831
Sand,autumn,#DECC86
Bright Gold,autumn,#F9CD37
Dusty Green,autumn,#63AC73
Greyish Green,autumn,#8EA17E
Hazel Green,autumn,#66795B
Mineral Green,autumn,#42614D
Midnight Blue,autumn,#123A62
Desert Sand,autumn,#F4C8AB
Rust Brown ,autumn,#B45527
Tabasco,autumn,#961B21
Faded Orange,autumn,#F79162
Peacock blue,autumn,#1B5D6C
Deep Aqua,autumn,#216F71
Pastel Orange,autumn,#F0A45E
Thunderbird,autumn,#C72028
Merlot,autumn,#8A191C
Salmon pink,autumn,#F48F8C
Eggplant purple ,autumn,#58266E
Medium Spring Bud,autumn,#CFE094
Flat Green,autumn,#67983F
Moss Green,autumn,#659840
Olive Green,autumn,#ACBE64
Jade Green,winter,#2FAA58
Pale Pink,winter,#F5D8E4
French Rose,winter,#F25099
Black,winter,#040608
Blue grape,winter,#3E2E82
Maroon,winter,#5D0919
Burgundy,winter,#430F11
Charcoal gray,winter,#4F4C41
Cloudy Grey,winter,#6E655F
Forest Green,winter,#279050
Grape,winter,#42256D
Ice blue,winter,#E3EFFB
Alabaster,winter,#FFF9FC
Night Blue,winter,#0F0E44
Banana Yellow,winter,#FAEF28
Fuchsia,winter,#EE0581
Avocado Green,winter,#9DCE44
Dark Teal,winter,#155149
Red Violet,winter,#B0218E
Cobalt,winter,#1E489A
Persian Indigo,winter,#2F2E7B
Almond,winter,#EFDFBD
Silver beige,winter,#D6D1AF
Silver gray,winter,#D8D9E2
Celestial Blue,winter,#389CD1
Raspberry,winter,#EC1864
White,winter,#FFFFFF
Carmine red,winter,#B31E37
Wine Red,winter,#700E25
Old Brick,winter,#921B25